Type,Function,Digit,Time(ms)
u32toa_sequential,null,1,0.238000
u32toa_sequential,null,2,0.238000
u32toa_sequential,null,3,0.238000
u32toa_sequential,null,4,0.238000
u32toa_sequential,null,5,0.238000
u32toa_sequential,null,6,0.238000
u32toa_sequential,null,7,0.238000
u32toa_sequential,null,8,0.238000
u32toa_sequential,null,9,0.238000
u32toa_sequential,null,10,0.238000
u32toa_random,null,0,1.753000
u32toa_sequential,lut,1,0.357000
u32toa_sequential,lut,2,0.475000
u32toa_sequential,lut,3,0.618000
u32toa_sequential,lut,4,0.706000
u32toa_sequential,lut,5,0.897000
u32toa_sequential,lut,6,0.978000
u32toa_sequential,lut,7,1.267000
u32toa_sequential,lut,8,1.332000
u32toa_sequential,lut,9,1.535000
u32toa_sequential,lut,10,1.582000
u32toa_random,lut,0,17.129000
u32toa_sequential,naive,1,0.488000
u32toa_sequential,naive,2,0.635000
u32toa_sequential,naive,3,0.828000
u32toa_sequential,naive,4,1.074000
u32toa_sequential,naive,5,1.312000
u32toa_sequential,naive,6,1.574000
u32toa_sequential,naive,7,1.839000
u32toa_sequential,naive,8,2.109000
u32toa_sequential,naive,9,2.383000
u32toa_sequential,naive,10,2.659000
u32toa_random,naive,0,22.538000
u32toa_sequential,sprintf,1,6.736000
u32toa_sequential,sprintf,2,6.895000
u32toa_sequential,sprintf,3,7.088000
u32toa_sequential,sprintf,4,7.239000
u32toa_sequential,sprintf,5,7.545000
u32toa_sequential,sprintf,6,7.798000
u32toa_sequential,sprintf,7,7.894000
u32toa_sequential,sprintf,8,8.208000
u32toa_sequential,sprintf,9,8.460000
u32toa_sequential,sprintf,10,8.640000
u32toa_random,sprintf,0,85.609000
u32toa_sequential,mwilson,1,0.395000
u32toa_sequential,mwilson,2,0.625000
u32toa_sequential,mwilson,3,0.873000
u32toa_sequential,mwilson,4,1.188000
u32toa_sequential,mwilson,5,1.458000
u32toa_sequential,mwilson,6,1.771000
u32toa_sequential,mwilson,7,2.036000
u32toa_sequential,mwilson,8,2.371000
u32toa_sequential,mwilson,9,2.661000
u32toa_sequential,mwilson,10,2.988000
u32toa_random,mwilson,0,24.104000
u32toa_sequential,countlut,1,0.361000
u32toa_sequential,countlut,2,0.412000
u32toa_sequential,countlut,3,0.584000
u32toa_sequential,countlut,4,0.628000
u32toa_sequential,countlut,5,0.829000
u32toa_sequential,countlut,6,0.862000
u32toa_sequential,countlut,7,1.158000
u32toa_sequential,countlut,8,1.152000
u32toa_sequential,countlut,9,1.293000
u32toa_sequential,countlut,10,1.303000
u32toa_random,countlut,0,14.043000
u32toa_sequential,branchlut,1,0.369000
u32toa_sequential,branchlut,2,0.395000
u32toa_sequential,branchlut,3,0.396000
u32toa_sequential,branchlut,4,0.415000
u32toa_sequential,branchlut,5,0.771000
u32toa_sequential,branchlut,6,0.794000
u32toa_sequential,branchlut,7,0.796000
u32toa_sequential,branchlut,8,0.825000
u32toa_sequential,branchlut,9,1.043000
u32toa_sequential,branchlut,10,1.049000
u32toa_random,branchlut,0,12.781000
u32toa_sequential,count,1,0.514000
u32toa_sequential,count,2,0.694000
u32toa_sequential,count,3,0.879000
u32toa_sequential,count,4,1.074000
u32toa_sequential,count,5,1.292000
u32toa_sequential,count,6,1.448000
u32toa_sequential,count,7,1.672000
u32toa_sequential,count,8,1.898000
u32toa_sequential,count,9,2.141000
u32toa_sequential,count,10,2.361000
u32toa_random,count,0,20.437000
u32toa_sequential,sse2,1,0.343000
u32toa_sequential,sse2,2,0.379000
u32toa_sequential,sse2,3,0.383000
u32toa_sequential,sse2,4,0.408000
u32toa_sequential,sse2,5,0.747000
u32toa_sequential,sse2,6,0.784000
