Type,Function,Digit,Time(ns)
u32toa_sequential,branchlut,1,5.880000
u32toa_sequential,branchlut,2,6.590000
u32toa_sequential,branchlut,3,6.560000
u32toa_sequential,branchlut,4,6.840000
u32toa_sequential,branchlut,5,10.990000
u32toa_sequential,branchlut,6,12.150000
u32toa_sequential,branchlut,7,13.290000
u32toa_sequential,branchlut,8,14.370000
u32toa_sequential,branchlut,9,18.110000
u32toa_sequential,branchlut,10,18.080000
u32toa_random,branchlut,0,20.737000
u32toa_sequential,count,1,6.950000
u32toa_sequential,count,2,10.140000
u32toa_sequential,count,3,12.770000
u32toa_sequential,count,4,15.640000
u32toa_sequential,count,5,17.900000
u32toa_sequential,count,6,21.710000
u32toa_sequential,count,7,25.090000
u32toa_sequential,count,8,29.110000
u32toa_sequential,count,9,31.790000
u32toa_sequential,count,10,35.380000
u32toa_random,count,0,31.249000
u32toa_sequential,countlut,1,5.340000
u32toa_sequential,countlut,2,6.160000
u32toa_sequential,countlut,3,8.080000
u32toa_sequential,countlut,4,8.560000
u32toa_sequential,countlut,5,12.980000
u32toa_sequential,countlut,6,13.360000
u32toa_sequential,countlut,7,14.980000
u32toa_sequential,countlut,8,14.800000
u32toa_sequential,countlut,9,16.910000
u32toa_sequential,countlut,10,17.790000
u32toa_random,countlut,0,22.175000
u32toa_sequential,lut,1,5.370000
u32toa_sequential,lut,2,6.780000
u32toa_sequential,lut,3,9.640000
u32toa_sequential,lut,4,11.950000
u32toa_sequential,lut,5,15.670000
u32toa_sequential,lut,6,16.190000
u32toa_sequential,lut,7,19.300000
u32toa_sequential,lut,8,20.720000
u32toa_sequential,lut,9,23.190000
u32toa_sequential,lut,10,24.980000
u32toa_random,lut,0,29.949000
u32toa_sequential,mwilson,1,6.460000
u32toa_sequential,mwilson,2,10.350000
u32toa_sequential,mwilson,3,13.930000
u32toa_sequential,mwilson,4,19.990000
u32toa_sequential,mwilson,5,23.570000
u32toa_sequential,mwilson,6,28.720000
u32toa_sequential,mwilson,7,32.960000
u32toa_sequential,mwilson,8,37.650000
u32toa_sequential,mwilson,9,41.070000
u32toa_sequential,mwilson,10,45.270000
u32toa_random,mwilson,0,40.281000
u32toa_sequential,naive,1,6.730000
u32toa_sequential,naive,2,10.400000
u32toa_sequential,naive,3,14.380000
u32toa_sequential,naive,4,18.950000
u32toa_sequential,naive,5,23.260000
u32toa_sequential,naive,6,27.220000
u32toa_sequential,naive,7,31.620000
u32toa_sequential,naive,8,35.760000
u32toa_sequential,naive,9,40.300000
u32toa_sequential,naive,10,44.270000
u32toa_random,naive,0,39.057000
u32toa_sequential,null,1,2.130000
u32toa_sequential,null,2,2.140000
u32toa_sequential,null,3,2.130000
u32toa_sequential,null,4,2.140000
u32toa_sequential,null,5,2.130000
u32toa_sequential,null,6,2.130000
u32toa_sequential,null,7,2.130000
u32toa_sequential,null,8,2.130000
u32toa_sequential,null,9,2.140000
u32toa_sequential,null,10,2.130000
u32toa_random,null,0,2.498000
u32toa_sequential,sprintf,1,174.820000
u32toa_sequential,sprintf,2,208.120000
u32toa_sequential,sprintf,3,221.280000
u32toa_sequential,sprintf,4,261.830000
u32toa_sequential,sprintf,5,292.010000
u32toa_sequential,sprintf,6,303.140000
u32toa_sequential,sprintf,7,328.080000
u32toa_sequential,sprintf,8,351.520000
u32toa_sequential,sprintf,9,351.690000
u32toa_sequential,sprintf,10,364.790000
u32toa_random,sprintf,0,301.278000
u32toa_sequential,sse2,1,5.700000
u32toa_sequential,sse2,2,6.500000
u32toa_sequential,sse2,3,6.780000
u32toa_sequential,sse2,4,6.410000
