Type,Function,Digit,Time(ns)
u32toa_sequential,amartin,1,5.571992
u32toa_sequential,amartin,2,5.571992
u32toa_sequential,amartin,3,7.425601
u32toa_sequential,amartin,4,7.425601
u32toa_sequential,amartin,5,7.436767
u32toa_sequential,amartin,6,7.380936
u32toa_sequential,amartin,7,8.720894
u32toa_sequential,amartin,8,8.698561
u32toa_sequential,amartin,9,10.619168
u32toa_sequential,amartin,10,11.378477
u32toa_random,amartin,0,19.150234
u32toa_sequential,branchlut,1,6.353635
u32toa_sequential,branchlut,2,7.001281
u32toa_sequential,branchlut,3,7.403268
u32toa_sequential,branchlut,4,7.157609
u32toa_sequential,branchlut,5,13.187421
u32toa_sequential,branchlut,6,14.170057
u32toa_sequential,branchlut,7,14.773038
u32toa_sequential,branchlut,8,15.141526
u32toa_sequential,branchlut,9,16.213493
u32toa_sequential,branchlut,10,16.615480
u32toa_random,branchlut,0,22.726806
u32toa_sequential,branchlut2,1,6.308969
u32toa_sequential,branchlut2,2,7.057113
u32toa_sequential,branchlut2,3,6.308969
u32toa_sequential,branchlut2,4,7.425601
u32toa_sequential,branchlut2,5,7.782923
u32toa_sequential,branchlut2,6,7.715925
u32toa_sequential,branchlut2,7,10.273012
u32toa_sequential,branchlut2,8,10.340010
u32toa_sequential,branchlut2,9,12.997593
u32toa_sequential,branchlut2,10,12.975261
u32toa_random,branchlut2,0,22.024444
u32toa_sequential,naive,1,6.565795
u32toa_sequential,naive,2,9.547201
u32toa_sequential,naive,3,13.198587
u32toa_sequential,naive,4,16.526150
u32toa_sequential,naive,5,20.646521
u32toa_sequential,naive,6,24.554732
u32toa_sequential,naive,7,28.306615
u32toa_sequential,naive,8,32.549815
u32toa_sequential,naive,9,36.413361
u32toa_sequential,naive,10,40.511399
u32toa_random,naive,0,37.412746
u32toa_sequential,null,1,2.590586
u32toa_sequential,null,2,2.590586
u32toa_sequential,null,3,2.590586
u32toa_sequential,null,4,2.590586
u32toa_sequential,null,5,2.590586
u32toa_sequential,null,6,2.590586
u32toa_sequential,null,7,2.590586
u32toa_sequential,null,8,2.590586
u32toa_sequential,null,9,2.590586
u32toa_sequential,null,10,2.590586
u32toa_random,null,0,2.973590
i32toa_sequential,amartin,1,6.867285
i32toa_sequential,amartin,2,6.867285
i32toa_sequential,amartin,3,8.732060
i32toa_sequential,amartin,4,8.732060
i32toa_sequential,amartin,5,9.804027
i32toa_sequential,amartin,6,9.792860
i32toa_sequential,amartin,7,11.880962
i32toa_sequential,amartin,8,11.959126
i32toa_sequential,amartin,9,14.114225
i32toa_sequential,amartin,10,14.237055
i32toa_random,amartin,0,24.999151
i32toa_sequential,branchlut,1,8.687395
i32toa_sequential,branchlut,2,9.491370
i32toa_sequential,branchlut,3,9.826359
i32toa_sequential,branchlut,4,9.759361
i32toa_sequential,branchlut,5,16.593148
i32toa_sequential,branchlut,6,17.307792
i32toa_sequential,branchlut,7,17.620449
i32toa_sequential,branchlut,8,17.921939
i32toa_sequential,branchlut,9,19.273064
i32toa_sequential,branchlut,10,18.871076
i32toa_random,branchlut,0,29.012326
i32toa_sequential,branchlut2,1,7.794090
i32toa_sequential,branchlut2,2,8.542233
i32toa_sequential,branchlut2,3,8.162578
i32toa_sequential,branchlut2,4,8.910721
i32toa_sequential,branchlut2,5,10.507505
i32toa_sequential,branchlut2,6,10.440507
i32toa_sequential,branchlut2,7,13.902065
i32toa_sequential,branchlut2,8,14.114225
i32toa_sequential,branchlut2,9,16.861139
i32toa_sequential,branchlut2,10,16.995135
i32toa_random,branchlut2,0,27.658968
i32toa_sequential,naive,1,7.771757
i32toa_sequential,naive,2,10.808995
i32toa_sequential,naive,3,14.661375
i32toa_sequential,naive,4,18.346259
i32toa_sequential,naive,5,22.232138
i32toa_sequential,naive,6,26.118016
i32toa_sequential,naive,7,29.423246
i32toa_sequential,naive,8,33.353790
i32toa_sequential,naive,9,37.206170
i32toa_sequential,naive,10,41.170212
i32toa_random,naive,0,40.895521
i32toa_sequential,null,1,2.590586
i32toa_sequential,null,2,2.590586
i32toa_sequential,null,3,2.590586
i32toa_sequential,null,4,2.590586
i32toa_sequential,null,5,2.590586
i32toa_sequential,null,6,2.590586
i32toa_sequential,null,7,2.590586
i32toa_sequential,null,8,2.590586
i32toa_sequential,null,9,2.590586
i32toa_sequential,null,10,2.590586
i32toa_random,null,0,2.785996
u64toa_sequential,amartin,1,7.057113
u64toa_sequential,amartin,2,7.157609
u64toa_sequential,amartin,3,8.921888
u64toa_sequential,amartin,4,8.910721
u64toa_sequential,amartin,5,9.379707
u64toa_sequential,amartin,6,9.145214
u64toa_sequential,amartin,7,10.395841
u64toa_sequential,amartin,8,11.210983
u64toa_sequential,amartin,9,13.075758
u64toa_sequential,amartin,10,13.042259
u64toa_sequential,amartin,11,26.899659
u64toa_sequential,amartin,12,28.764434
u64toa_sequential,amartin,13,28.529941
u64toa_sequential,amartin,14,30.216055
u64toa_sequential,amartin,15,29.892232
u64toa_sequential,amartin,16,32.884805
u64toa_sequential,amartin,17,32.415819
u64toa_sequential,amartin,18,35.620552
u64toa_sequential,amartin,19,34.972906
u64toa_sequential,amartin,20,59.371310
u64toa_random,amartin,0,37.368081
u64toa_sequential,branchlut,1,7.157609
u64toa_sequential,branchlut,2,8.799058
u64toa_sequential,branchlut,3,8.397071
u64toa_sequential,branchlut,4,8.374738
u64toa_sequential,branchlut,5,12.863598
u64toa_sequential,branchlut,6,13.890899
u64toa_sequential,branchlut,7,14.460381
u64toa_sequential,branchlut,8,14.739539
u64toa_sequential,branchlut,9,39.238439
u64toa_sequential,branchlut,10,40.265740
u64toa_sequential,branchlut,11,40.500233
u64toa_sequential,branchlut,12,40.053580
u64toa_sequential,branchlut,13,41.170212
u64toa_sequential,branchlut,14,40.288073
u64toa_sequential,branchlut,15,42.275678
u64toa_sequential,branchlut,16,42.487838
u64toa_sequential,branchlut,17,71.553762
u64toa_sequential,branchlut,18,71.899918
u64toa_sequential,branchlut,19,73.027716
u64toa_sequential,branchlut,20,72.748558
u64toa_random,branchlut,0,53.425246
u64toa_sequential,branchlut2,1,5.237003
u64toa_sequential,branchlut2,2,5.683656
u64toa_sequential,branchlut2,3,7.023614
u64toa_sequential,branchlut2,4,7.057113
u64toa_sequential,branchlut2,5,8.274241
u64toa_sequential,branchlut2,6,8.419403
u64toa_sequential,branchlut2,7,11.009989
u64toa_sequential,branchlut2,8,11.121652
u64toa_sequential,branchlut2,9,28.239617
u64toa_sequential,branchlut2,10,28.864930
u64toa_sequential,branchlut2,11,29.445579
u64toa_sequential,branchlut2,12,29.501411
u64toa_sequential,branchlut2,13,31.634177
u64toa_sequential,branchlut2,14,31.589512
u64toa_sequential,branchlut2,15,33.554784
u64toa_sequential,branchlut2,16,33.923272
u64toa_sequential,branchlut2,17,69.476827
u64toa_sequential,branchlut2,18,68.561189
u64toa_sequential,branchlut2,19,70.593459
u64toa_sequential,branchlut2,20,70.894949
u64toa_random,branchlut2,0,49.131796
u64toa_sequential,naive,1,21.003843
u64toa_sequential,naive,2,38.188805
u64toa_sequential,naive,3,54.614458
u64toa_sequential,naive,4,71.620760
u64toa_sequential,naive,5,88.571229
u64toa_sequential,naive,6,105.108546
u64toa_sequential,naive,7,121.679361
u64toa_sequential,naive,8,138.964820
